id,root,path,selectors,initial_label,curated_label,label_source,label_confidence,signal_score,noise_score,signal_noise_ratio,path_role,kind,is_routing_anchor,under_test_or_fixture,duplicate_of,curation_reason
72bfc4f05989,repo,docs/skills/authoring-hooks.md,project_docs;skills,high_signal,high_signal,selector_score_prior,high,96,2,48.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
537dbc1fe53a,repo,docs/skills/authoring-extensions.md,project_docs;skills,high_signal,high_signal,selector_score_prior,high,92,2,46.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
154c047d5cee,repo,docs/skills/authoring-marketplaces.md,project_docs;skills,high_signal,mixed_signal,map_reducer_adjustment,medium,89,11,8.091,skill,procedural,True,False,,Mapper: authoring-marketplaces is useful but CLI/schema-heavy; noise score is much higher than adjacent authoring docs.
c8b7bbcfbf8f,repo,.omp/skills/diagnosing-bugs/SKILL.md,skills,high_signal,mixed_signal,map_reducer_adjustment,medium,78,6,13.0,skill,procedural,True,False,,Mapper: diagnosing-bugs is valuable but procedural/noise-heavy; mixed label with routing-anchor feature.
7c27661db63c,repo,.omp/skills/mattpocock-skills/writing-great-skills/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,78,0,78.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
09d7b8eacd51,repo,.omp/skills/system-prompts/SKILL.md,skills,high_signal,mixed_signal,map_reducer_adjustment,medium,78,10,7.8,skill,procedural,True,False,,"Mapper: system-prompts skill is routing-useful but imperative/template-heavy, so not pure high-signal body context."
13f604027d66,repo,.omp/skills/tool-prompt-optimization/SKILL.md,skills,high_signal,mixed_signal,map_reducer_adjustment,medium,78,6,13.0,skill,procedural,True,False,,Mapper: tool-prompt-optimization has high keyword density but lower SNR; mixed is more honest.
cd0549a12521,repo,packages/verifier-extension/skills/llm-as-verifier/SKILL.md,skills,high_signal,mixed_signal,map_reducer_adjustment,medium,78,7,11.143,skill,procedural,True,False,,Mapper: verifier skill doubles as reference material; use mixed label and rely on routing-anchor feature.
4a607c28cc59,repo,packages/verifier-extension/skills/pk-dynamic-workflows/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,78,1,78.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
f221e391b397,repo,packages/verifier-extension/skills/pk-subagent-orchestrator/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,78,0,78.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
d8cdb7312d3c,repo,python/fugu/.agents/skills/llm-as-verifier/SKILL.md,skills,high_signal,mixed_signal,map_reducer_adjustment,medium,78,7,11.143,skill,procedural,True,False,cd0549a12521,Mapper: duplicate verifier skill under fugu should share label with canonical copy.
19ecc8dc15df,repo,AGENTS.md,agent_rules,high_signal,high_signal,selector_score_prior,high,77,15,5.133,agent_rules,rules,True,False,,No map-worker override; keep deterministic selector prior.
a03ba860d645,repo,python/robomp/AGENTS.md,agent_rules,high_signal,high_signal,selector_score_prior,high,77,4,19.25,agent_rules,rules,True,False,,No map-worker override; keep deterministic selector prior.
